"Country Name","Country Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Arab World","ARB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2233833045205.22","2182529450468.28","2297583741617.99","2386586018549.63","2462579116232.18","2533506631827.79","2657701283363.54","2787488661849.77","2948302011521.35","3052249143189.27","3200914031935.26","3275868008509.28","3322191006438.76","3434567815748.73","3762702590773.08","3990011023368.13","4267366319256.63","4506743971638.36","4792825754008.71","4886884998471.39","5118037974079.01","5264049872292.7","5540242927263.25","5726962536782.9","5879933010465.91","6059523019729.07","",
"Caribbean small states","CSS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54266080801.87","55539887872.3438","55685001792.0676","57385634495.0983","58947931895.1126","60680450320.8084","62729977280.3045","64784810903.1903","66551492729.572","69290675271.8076","71940910620.0522","73617914647.1407","76681475867.7179","82020366912.9417","85834964707.7504","89071053287.4442","95713295342.2236","99034064904.0125","100698022255.625","97223447387.2742","98757384278.0782","99795377609.5919","101046295413.523","102909998922.33","103539171528.312","103834703178.948","",
"Central Europe and the Baltics","CEB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1357377696341.91","1224287767676.15","1197245422022.11","1216184284706.33","1266203918440.77","1339398087948.99","1397345165485","1435818430676","1473251295827.04","1501839070924.37","1562077151384.58","1611316556553.31","1668669659251.98","1743756580994.21","1843724811640.01","1933492289443.31","2061203834602.34","2193495847149.94","2281587499418.2","2198145178376.25","2238187394708.9","2308107592436.25","2322869787336.52","2357175656320.17","2426781688962.54","2514732707693.44","",
"Early-demographic dividend","EAR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8590336731636.72","8964500104302.46","9365027211053.99","9690963469123.95","10022919799684.8","10378686759888.4","10981503866848.7","11488819658175.1","11688311443272.8","12010710509213.9","12546005424936.1","12778693080706","13101381371850.6","13783746894696.9","14704259859110.1","15699916830148.7","16763774646053.8","17891683633022.9","18608070973783.7","19060793144353","20377253568991","21413022284674.4","22243475199901.2","23201397047550.5","24237564943102.9","25469435388751.9","",
"East Asia & Pacific","EAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9034566789597.62","9525817492555.01","10036900485585.6","10598277703503.3","11258156355014.3","11992641083385.7","12744941512788.5","13329712629262.8","13320992329167.4","13874566671546.1","14686167013633","15248788300697","16025667302925","16933513974274","18030869803146.2","19220174038255.5","20628769240532.5","22378533082586.3","23539398658756.2","24388590070752.8","26388445626126.3","27998076238522.4","29598889498073.1","31273478057928.7","32889184572983.1","34521219969827","",
"East Asia & Pacific (excluding high income)","EAP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3563090980803.07","3837888031027.95","4232249881435.76","4673323688064.3","5161057679707.03","5655230158878.73","6152099450348.75","6566230882040.62","6623895033078.13","7011756328314.4","7527785787335.28","8016865518099.12","8631713865298.23","9367566515225.02","10185671004993.8","11146355937950.3","12308267529080.2","13773931374960.1","14898736881495.1","15997772289453.7","17531498661527.5","18978924024826.5","20391608461486.7","21840287689217.4","23293322613326.1","24785943313075.8","",
"East Asia & Pacific (IDA & IBRD countries)","TEA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3556266392901.54","3830537108931.08","4224143615978.97","4664372609219.2","5151172416605.49","5644398379524.65","6140315989386.34","6553654211930.98","6611207915587.38","6998326318341.48","7513367397211.01","8001510366148.83","8615181059840.3","9349624289934.97","10166161818311.8","11125006697560.4","12284692814283.3","13747549392034.5","14870210956937.7","15967142779693.8","17497934969517.5","18942591532592.4","20352573533619.1","21798501635577.3","23248789109397.4","24738550767303.7","",
"Euro area","EMU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8761146484832.54","8997148213665.99","9123658055928.33","9061866381513.27","9285234765375.73","9516833761858.59","9684880526623.99","9951615884883.79","10247347347788.7","10550401232964.2","10958784552361.2","11201245390860.8","11319829290326.1","11409547573036","11677896761160.1","11881962710553.8","12273182557654.9","12651418114632.5","12707427450163.1","12124300241038","12372919143505.5","12556818765647.2","12436510638955.9","12400601442789","12545762024277.3","12801872997414.2","",
"Europe & Central Asia","ECS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17298634983743.7","17178332550190.3","16772817077636.2","16485102872345.7","16386352515045","16657393315930.6","16910589782863","17386323136839.2","17731281233938.9","18247337166615.1","19112420124902.8","19585237699962","20012409401798.4","20523399591147.7","21324603506792.1","22024704822713.8","23034051812049","24041055562364.6","24423132697896.7","23275540830321.1","23962062317060.5","24591675285779.6","24716660745802.5","24937627916372.5","25338559635496.4","25704706404910.7","",
"Europe & Central Asia (excluding high income)","ECA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5236919436872.67","4948517416098.34","4398710025016.44","4119362557012.58","3665986327425.98","3592989231650.08","3573967300288.12","3656853500913.89","3586103872317.97","3676781771768.54","3974286994957.61","4110098778443.58","4330525036994.63","4627859191677.51","5006728613766","5351306212945.12","5790658625626.43","6247343546207.27","6536661515777.09","6138414749188.64","6456416909512.16","6790912342666.57","6987465362435.98","7166140500716.63","7271655908954.69","7237546301432.5","",
